WatReqID,PlanningUnitID,Rationale,WReq_FISH,WReq_VEG,WReq_WBIRD,WReq_OTHER,CompliancePoint/Node,Condition,StartWateringPeriod,EndWateringPeriod,FlowComponent,BPFlowComponent,FlowMagnitude,WateringFrequency,WateringDuration,WateringDepth/height_m AHD,MaxIntervalBtwnEvents,Additional requirements/Notes
Ra_0001322,PU_0000087,"Flow BK1: Native Vegetation: NV1, 2, 3 - in-channel & fringing, wetland; Ecosystem Functions: EF1, 2, 3, 4, 5, 6 - channel maintenance, lateral/longitudinal connectivity; Other Species – OS4",FALSE,TRUE,FALSE,TRUE,Lachlan River @ Cowra (412002),,August,February,Bank full,Bank-full,"30,600-47,800 ML/d",5 years in 10 (50% of years),2 days,,N/A,"Ideal flow timing: August to February (but can occur any time); These EWRs cannot be met with current volumes of HEW under current constraints or with discretionary PEW or Translucent releases under the current WSP rules. This section of the Lachlan river is managed to mitigate flooding risks to protect towns and infrastructure. The minor flood level is recorded to be at 47,800 ML/d by BOM. Infrastructure needs to be upgraded (bridges, roads and crossings) and natural flows from dam spills and tributaries need to be protected to meet these EWRs."
Ra_0001323,PU_0000087,"Flow OB3: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 - dispersal & condition (all species); Native Vegetation: NV4a - RRG woodland condition; Waterbirds: WB5 - habitat; Ecosystem Functions: EF2, 3, 5, 7 - lateral connectivity, productivity; Other Species: OS1, 2",TRUE,TRUE,TRUE,TRUE,Lachlan River @ Cowra (412002),,August,February,Small overbank,Over-bank flows,">47,800 ML/d",3–5 years in 10 (40% of years),"2 days, 2-3 months of habitat inundation",,4 years,"Ideal flow timing: August to February (but can occur any time); These EWRs cannot be met with current volumes of HEW under current constraints or with discretionary PEW or Translucent releases under the current WSP rules. This section of the Lachlan river is managed to mitigate flooding risks to protect towns and infrastructure. The minor flood level is recorded to be at 47,800 ML/d by BOM. Infrastructure needs to be upgraded (bridges, roads and crossings) and natural flows from dam spills and tributaries need to be protected to meet these EWRs."
Ra_0001324,PU_0000087,"Flow OB4: Native Vegetation: NV4b, 4c - black box & lignum maintenance; Waterbirds: WB1, 2, 3, 4, 5 - breeding (colonial and non-colonial) and habitat; Ecosystem Functions: EF2, 3, 4, 5, 6 - lateral connectivity, productivity, between catchment connectivity",FALSE,TRUE,TRUE,TRUE,Lachlan River @ Cowra (412002),,September,May,Large overbank,Over-bank flows,">85,500 ML/d",2–3 years in 10 (25% of years),"1 day, 3–8 months of habitat inundation",,5 years,"Ideal flow timing: September to May (but can occur any time); These EWRs cannot be met with current volumes of HEW under current constraints or with discretionary PEW or Translucent releases under the current WSP rules. This section of the Lachlan river is managed to mitigate flooding risks to protect towns and infrastructure. The minor flood level is recorded to be at 47,800 ML/d by BOM. Infrastructure needs to be upgraded (bridges, roads and crossings) and natural flows from dam spills and tributaries need to be protected to meet these EWRs."
Ra_0001325,PU_0000087,"Flow OB5: Native Vegetation: NV4b; Waterbirds: WB1, 2, 3, 4, 5 - breeding (colonial and non-colonial) and habitat; Ecosystem Functions: EF2, 3, 4, 5, 6 - lateral connectivity, productivity, between catchment connectivity",FALSE,TRUE,TRUE,TRUE,Lachlan River @ Cowra (412002),,Any time,Any time,Large overbank,Over-bank flows,">135,000 ML/d",1 year in 10 (10% of years),"1 day, 1–6 months of habitat inundation",,10 years,"These EWRs cannot be met with current volumes of HEW under current constraints or with discretionary PEW or Translucent releases under the current WSP rules. This section of the Lachlan river is managed to mitigate flooding risks to protect towns and infrastructure. The minor flood level is recorded to be at 47,800 ML/d by BOM. Infrastructure needs to be upgraded (bridges, roads and crossings) and natural flows from dam spills and tributaries need to be protected to meet these EWRs."
Ra_0001326,PU_0000088,"Flow CF: Native Fish: NF1 - Survival (all species); Ecosystem Functions: EF1, 2 - refuge habitat; Native Vegetation: NV1",TRUE,TRUE,FALSE,TRUE,Lachlan River @ Forbes (412004),,December,May,Cease to flow,Cease-to-flow,0 ML/d,CF events should occur in no more than 1% of years,CF events should not persist longer than 4 days,,N/A,"Ideal flow timing: In line with historical low flow season, typically December to May; These EWRs can be met with the current volumes of HEW under current constraints or with PEW under the current WSP rules. River operations, irrigation deliveries, and natural flows from tributaries will also contribute to these EWRs. When restarting flows ensure a slow rate of rise and fall (in line with natural) to reduce the risks of harmful water-quality impacts, such as de-oxygenated refuge pools. Minimum durations in very dry years represents the 95%ile duration at each flow rate."
Ra_0001327,PU_0000088,"Flow VF: Native Fish: NF1 - Survival and condition (all species); Ecosystem Functions: EF1, 2 - refuge habitat",TRUE,FALSE,FALSE,TRUE,Lachlan River @ Forbes (412004),,Any time,Any time,Very low flow,Base flow - Other,>50 ML/d,Annual (100% of years),359 days,,1 year,"These EWRs can be met with the current volumes of HEW under current constraints or with PEW under the current WSP rules. River operations, irrigation deliveries, and natural flows from tributaries will also contribute to these EWRs. When restarting flows ensure a slow rate of rise and fall (in line with natural) to reduce the risks of harmful water-quality impacts, such as de-oxygenated refuge pools. Minimum durations in very dry years represents the 95%ile duration at each flow rate."
Ra_0001328,PU_0000088,"Flow VF: Native Fish: NF1 - Survival and condition (all species); Ecosystem Functions: EF1, 2 - refuge habitat",TRUE,FALSE,FALSE,TRUE,Lachlan River @ Forbes (412004),Very dry,Any time,Any time,Very low flow,Base flow - Other,>50 ML/d,Annual (100% of years),220 days in very dry years,,1 year,"These EWRs can be met with the current volumes of HEW under current constraints or with PEW under the current WSP rules. River operations, irrigation deliveries, and natural flows from tributaries will also contribute to these EWRs. When restarting flows ensure a slow rate of rise and fall (in line with natural) to reduce the risks of harmful water-quality impacts, such as de-oxygenated refuge pools. Minimum durations in very dry years represents the 95%ile duration at each flow rate."
Ra_0001329,PU_0000088,"Flow BF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 - condition and movement; Native Vegetation: NV1, 2 - in-channel and wetland non-woody; Ecosystem Functions: EF1, 2, 3a; Other Species: OS4 – platypus foraging and movement",TRUE,TRUE,FALSE,TRUE,Lachlan River @ Forbes (412004),,Any time,Any time,Base flow,Base flow,>165 ML/d,Annual (100% of years),289 days,,1 year,"These EWRs can be met with the current volumes of HEW under current constraints or with PEW under the current WSP rules. River operations, irrigation deliveries, and natural flows from tributaries will also contribute to these EWRs. When restarting flows ensure a slow rate of rise and fall (in line with natural) to reduce the risks of harmful water-quality impacts, such as de-oxygenated refuge pools. Minimum durations in very dry years represents the 95%ile duration at each flow rate."
Ra_0001330,PU_0000088,"Flow BF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 - condition and movement; Native Vegetation: NV1, 2 - in-channel and wetland non-woody; Ecosystem Functions: EF1, 2, 3a; Other Species: OS4 – platypus foraging and movement",TRUE,TRUE,FALSE,TRUE,Lachlan River @ Forbes (412004),Very dry,Any time,Any time,Base flow,Base flow,>165 ML/d,Annual (100% of years),146 days in very dry years,,1 year,"These EWRs can be met with the current volumes of HEW under current constraints or with PEW under the current WSP rules. River operations, irrigation deliveries, and natural flows from tributaries will also contribute to these EWRs. When restarting flows ensure a slow rate of rise and fall (in line with natural) to reduce the risks of harmful water-quality impacts, such as de-oxygenated refuge pools. Minimum durations in very dry years represents the 95%ile duration at each flow rate."
Ra_0001331,PU_0000088,"Flow BF2: Native Fish: NF1, 2, 5, 6, 8, 9 - Recruitment (riverine specialists, generalists); Ecosystem Functions: EF1, 2, 3a",TRUE,FALSE,FALSE,TRUE,Lachlan River @ Forbes (412004),,September,March,Base flow,Base flow,>165 ML/d,5–10 years in 10 (75% of years),176 days,,2 years,"These EWRs can be met with the current volumes of HEW under current constraints or with PEW under the current WSP rules. River operations, irrigation deliveries, and natural flows from tributaries will also contribute to these EWRs. When restarting flows ensure a slow rate of rise and fall (in line with natural) to reduce the risks of harmful water-quality impacts, such as de-oxygenated refuge pools. Minimum durations in very dry years represents the 95%ile duration at each flow rate."
Ra_0001332,PU_0000088,"Flow BF2: Native Fish: NF1, 2, 5, 6, 8, 9 - Recruitment (riverine specialists, generalists); Ecosystem Functions: EF1, 2, 3a",TRUE,FALSE,FALSE,TRUE,Lachlan River @ Forbes (412004),Very dry,September,March,Base flow,Base flow,>165 ML/d,5–10 years in 10 (75% of years),63 days in very dry years,,2 years,"These EWRs can be met with the current volumes of HEW under current constraints or with PEW under the current WSP rules. River operations, irrigation deliveries, and natural flows from tributaries will also contribute to these EWRs. When restarting flows ensure a slow rate of rise and fall (in line with natural) to reduce the risks of harmful water-quality impacts, such as de-oxygenated refuge pools. Minimum durations in very dry years represents the 95%ile duration at each flow rate."
Ra_0001333,PU_0000088,"Flow SF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 - Dispersal/condition (all species); Native Vegetation: NV1 - in-channel; Ecosystem Functions: EF1, 2, 3a, 5; Other species: OS4",TRUE,TRUE,FALSE,TRUE,Lachlan River @ Forbes (412004),,October,April,Small fresh,Fresh,>600 ML/d,Annual (100% of years),10 days,,1 year,"Ideal flow timing: October to April (but can occur any time); These EWRs can be met with the current volumes of HEW under current constraints or with PEW under the current WSP rules. River operations, irrigation deliveries, and natural flows from tributaries will also contribute to these EWRs. When restarting flows ensure a slow rate of rise and fall (in line with natural) to reduce the risks of harmful water-quality impacts, such as de-oxygenated refuge pools. Minimum durations in very dry years represents the 95%ile duration at each flow rate."
Ra_0001334,PU_0000088,"Flow SF2: Native Fish: NF1, 2, 5, 6, 8 - Spawning (river specialists, generalists); Native Vegetation: NV1 - in-channel; Ecosystem Functions: EF1, 2, 3a, 5; Other species: OS4",TRUE,TRUE,FALSE,TRUE,Lachlan River @ Forbes (412004),,October,April,Small fresh,Fresh,>600 ML/d,5–10 years in 10 (75% of years),14 days,,2 years,"These EWRs can be met with the current volumes of HEW under current constraints or with PEW under the current WSP rules. River operations, irrigation deliveries, and natural flows from tributaries will also contribute to these EWRs. When restarting flows ensure a slow rate of rise and fall (in line with natural) to reduce the risks of harmful water-quality impacts, such as de-oxygenated refuge pools. Minimum durations in very dry years represents the 95%ile duration at each flow rate."
Ra_0001335,PU_0000088,"Flow SF3: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 - Dispersal/condition (all species); Native Vegetation: NV1, 2 - in-channel; Ecosystem Functions: EF1, 2, 3a, 5",TRUE,TRUE,FALSE,TRUE,Lachlan River @ Forbes (412004),,August,February,Small fresh,Fresh,">3,000 ML/d",5–10 years in 10 (75% of years),6 days,,2 years,"Ideal flow timing: August to February (but can occur any time);  These EWRs can be met with the current volumes of HEW under current constraints or with PEW under the current WSP rules. River operations, irrigation deliveries, and natural flows from tributaries will also contribute to these EWRs. When restarting flows ensure a slow rate of rise and fall (in line with natural) to reduce the risks of harmful water-quality impacts, such as de-oxygenated refuge pools. Minimum durations in very dry years represents the 95%ile duration at each flow rate."
Ra_0001336,PU_0000088,"Flow LF1: Native Fish: NF1, 2, 4, 5, 6, 8, 9 - dispersal/condition (all species); Native Vegetation: NV1 - in-channel; Ecosystem Functions: EF2, 3a, 4, 5, 6; Other Species - OS1, 2, 4",TRUE,TRUE,FALSE,TRUE,Lachlan River @ Forbes (412004),,July,September,Large fresh,Fresh,">8,500 ML/d",5–10 years in 10 (75% of years),5 days,,2 years,Ideal flow timing: July to September (but can occur any time);  PEW under current WSP rules and HEW may be able to contribute to this EWR with current volumes and under current constraints if delivered in combination with consumptive water deliveries or natural flows.
Ra_0001337,PU_0000088,"Flow LF2: Native Fish: NF1, 4, 6, 9 - spawning (flow pulse specialist fish); Native Vegetation: NV1 - in-channel; Ecosystem Functions: EF2, 3a, 4, 5, 6; Other Species: OS1, 2",TRUE,TRUE,FALSE,TRUE,Lachlan River @ Forbes (412004),,October,April,Large fresh,Fresh,">8,500 ML/d",3–5 years in 10 (40% of years),5 days,,4 years,PEW under current WSP rules and HEW may be able to contribute to this EWR with current volumes and under current constraints if delivered in combination with consumptive water deliveries or natural flows.
Ra_0001338,PU_0000088,"Flow LF3: Native Fish: NF1, 2, 4, 5, 6, 8, 9 - dispersal/condition (all species); Native Vegetation: NV1, 2; Ecosystem Functions: EF2, 3a, 4, 5, 6; Other Species - OS1, 2",TRUE,TRUE,FALSE,TRUE,Lachlan River @ Forbes (412004),,August,February,Large fresh,Fresh,">9,250 ML/d",3–5 years in 10 (40% of years),7 days,,4 years,Ideal flow timing: August to February (but can occur any time);  PEW under current WSP rules and HEW may be able to contribute to this EWR with current volumes and under current constraints if delivered in combination with consumptive water deliveries or natural flows.
Ra_0001339,PU_0000088,"Flow BK1: Native Vegetation: NV1, 2, 3 - in-channel & fringing, wetland; Ecosystem Functions: EF1, 2, 3, 4, 5, 6 - channel maintenance, lateral/longitudinal connectivity; Other Species – OS4",FALSE,TRUE,FALSE,TRUE,Lachlan River @ Forbes (412004),,August,February,Bank full,Bank-full,"13,000-13,900 ML/d",5-7 years in 10 (60% of years),4 days,,N/A,Ideal flow timing: August to February (but can occur any time); PEW under current WSP rules and HEW may be able to contribute to this EWR with current volumes and under current constraints if delivered in combination with consumptive water deliveries or natural flows.
Ra_0001340,PU_0000088,"Flow OB2: Native Fish: NF1, 3, 7 - Spawning (floodplain specialist fish); Native Vegetation: NV4a, 4b, 4c - RRG maintenance; black box/lignum condition; Waterbirds: WB1, 2, 3, 5 - survival, habitat and potential breeding (non-colonial); Ecosystem Functions: EF2, 3, 4, 5, 6 - connectivity, productivity; Other Species: OS1, 2",TRUE,TRUE,TRUE,TRUE,Lachlan River @ Forbes (412004),,October,April,Small overbank,Over-bank flows,">13,900 ML/d",4–7 years in 10 (55% of years),"10 days, 2–6 months of habitat inundation",,3 years,"Ideal flow timing: October to April (but can occur any time);  These EWRs cannot be met with the current volumes of HEW under current conditions or with discretionary PEW or Translucent releases under current WSP rules. Channel capacity, as defined in the WSP, constrains flows >13,900 ML/d Natural flows need to be protected to meet these EWRs"
Ra_0001341,PU_0000088,"Flow OB3: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 - dispersal & condition (all species); Native Vegetation: NV4a - RRG woodland condition; Waterbirds: WB5 - habitat; Ecosystem Functions: EF2, 3, 5, 7 - lateral connectivity, productivity; Other Species: OS1, 2",TRUE,TRUE,TRUE,TRUE,Lachlan River @ Forbes (412004),,August,February,Small overbank,Over-bank flows,">21,600 ML/d",3–5 years in 10 (40% of years),"5 days, 2-3 months of habitat inundation",,4 years,"Ideal flow timing: August to February (but can occur any time); These EWRs cannot be met with the current volumes of HEW under current conditions or with discretionary PEW or Translucent releases under current WSP rules. Channel capacity, as defined in the WSP, constrains flows >13,900 ML/d Natural flows need to be protected to meet these EWRs"
Ra_0001342,PU_0000088,"Flow OB4: Native Vegetation: NV4b, 4c - black box & lignum maintenance; Waterbirds: WB1, 2, 3, 4, 5 - breeding (colonial and non-colonial) and habitat; Ecosystem Functions: EF2, 3, 4, 5, 6 - lateral connectivity, productivity, between catchment connectivity",FALSE,TRUE,TRUE,TRUE,Lachlan River @ Forbes (412004),,September,May,Large overbank,Over-bank flows,">45,000 ML/d",2–3 years in 10 (25% of years),"1 days, 3–8 months of habitat inundation",,5 years,"Ideal flow timing: September to May (but can occur any time); These EWRs cannot be met with the current volumes of HEW under current conditions or with discretionary PEW or Translucent releases under current WSP rules. Channel capacity, as defined in the WSP, constrains flows >13,900 ML/d Natural flows need to be protected to meet these EWRs"
Ra_0001343,PU_0000088,"Flow OB5: Native Vegetation: NV4b; Waterbirds: WB1, 2, 3, 4, 5 - breeding (colonial and non-colonial) and habitat; Ecosystem Functions: EF2, 3, 4, 5, 6 - lateral connectivity, productivity, between catchment connectivity",FALSE,TRUE,TRUE,TRUE,Lachlan River @ Forbes (412004),,Any time,Any time,Large overbank,Over-bank flows,">65,000 ML/d",1 year in 10 (10% of years),"1 days, 1–6 months of habitat inundation",,10 years,"These EWRs cannot be met with the current volumes of HEW under current conditions or with discretionary PEW or Translucent releases under current WSP rules. Channel capacity, as defined in the WSP, constrains flows >13,900 ML/d Natural flows need to be protected to meet these EWRs"
Ra_0001344,PU_0000089,"Flow WL3: Native Fish: NF1, 3, 7 - dispersal & condition (all species); Native Vegetation: NV1, 2, 4b, 4e - lignum maintenance; Waterbirds: WB1, 2, 3, 4, 5 - survival, habitat and breeding; Ecosystem Functions: EF2, 3a, 4, 5, 6 - connectivity (possibly between catchments), productivity; Other Species: OS1, 2",TRUE,TRUE,TRUE,TRUE,Lachlan River @ Jemalong weir (412036),,August,February,Large wetland inundation,Wetland inundation flow,">15,000 ML/d",3-5 years in 10 (40% of years),"5 days, 2-3 months of habitat inundation",,4 years,"Ideal flow timing: August to February (but can occur any time);  These EWRs cannot be met with the current volumes of HEW under current conditions or with discretionary PEW or Translucent releases under current WSP rules. Channel capacity, as defined in the WSP, constrains flows >13,900 ML/d. These EWRs can only be met by natural flows or pre-flood airspace releases from Wyangala Dam. Natural flows need to be protected to meet these EWRs."
Ra_0001345,PU_0000089,"Flow OB3: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 - dispersal & condition (all species); Native Vegetation: NV4a - RRG woodland condition; Waterbirds: WB5 - habitat; Ecosystem Functions: EF2, 3, 5, 7 - lateral connectivity, productivity; Other Species: OS1, 2",TRUE,TRUE,TRUE,TRUE,Lachlan River @ Forbes (412004),,August,February,Small overbank,Over-bank flows,">21,600 ML/d",3–5 years in 10 (40% of years),"5 days, 2-3 months of habitat inundation",,4 years,"Ideal flow timing: August to February (but can occur any time); These EWRs cannot be met with the current volumes of HEW under current conditions or with discretionary PEW or Translucent releases under current WSP rules. Channel capacity, as defined in the WSP, constrains flows >13,900 ML/d. These EWRs can only be met by natural flows or pre-flood airspace releases from Wyangala Dam. Natural flows need to be protected to meet these EWRs."
Ra_0001346,PU_0000089,"Flow OB4: Native Vegetation: NV4b, 4c - black box & lignum maintenance; Waterbirds: WB1, 2, 3, 4, 5 - breeding (colonial and non-colonial) and habitat; Ecosystem Functions: EF2, 3, 4, 5, 6 - lateral connectivity, productivity, between catchment connectivity",FALSE,TRUE,TRUE,TRUE,Lachlan River @ Forbes (412004),,September,May,Large overbank,Over-bank flows,">45,000 ML/d",2–3 years in 10 (25% of years),"1 days, 3–8 months of habitat inundation",,5 years,"Ideal flow timing: September to May (but can occur any time); These EWRs cannot be met with the current volumes of HEW under current conditions or with discretionary PEW or Translucent releases under current WSP rules. Channel capacity, as defined in the WSP, constrains flows >13,900 ML/d. These EWRs can only be met by natural flows or pre-flood airspace releases from Wyangala Dam. Natural flows need to be protected to meet these EWRs."
Ra_0001347,PU_0000089,"Flow OB5: Native Vegetation: NV4b; Waterbirds: WB1, 2, 3, 4, 5 - breeding (colonial and non-colonial) and habitat; Ecosystem Functions: EF2, 3, 4, 5, 6 - lateral connectivity, productivity, between catchment connectivity",FALSE,TRUE,TRUE,TRUE,Lachlan River @ Forbes (412004),,Any time,Any time,Large overbank,Over-bank flows,">65,000 ML/d",1 year in 10 (10% of years),"1 days, 1–6 months of habitat inundation",,10 years,"These EWRs cannot be met with the current volumes of HEW under current conditions or with discretionary PEW or Translucent releases under current WSP rules. Channel capacity, as defined in the WSP, constrains flows >13,900 ML/d. These EWRs can only be met by natural flows or pre-flood airspace releases from Wyangala Dam. Natural flows need to be protected to meet these EWRs."
Ra_0001348,PU_0000092,"Flow CF: Native Fish: NF1 - Survival (all species); Ecosystem Functions: EF1, 2 - refuge habitat; Native Vegetation: NV1",TRUE,TRUE,FALSE,TRUE,Nerathong Creek @ Nerathong (412188),,December,May,Cease to flow,Cease-to-flow,0 ML/d,N/A,N/A,,N/A,"Ideal flow timing: In line with historical low flow season, typically December to May; These EWRs can be met with the current volumes of HEW under current constraints or with PEW under the current WSP rules. River operations, irrigation deliveries, and natural flows from tributaries will also contribute to these EWRs."
Ra_0001349,PU_0000092,"Flow CF: Native Fish: NF1 - Survival (all species); Ecosystem Functions: EF1, 2 - refuge habitat; Native Vegetation: NV1",TRUE,TRUE,FALSE,TRUE,Wallamundry Creek @ O/T Island Creek (412016),,December,May,Cease to flow,Cease-to-flow,0 ML/d,CF events should occur in no more than 93% of years,Events should not persist longer than 108 days,,N/A,"Ideal flow timing: In line with historical low flow season, typically December to May; These EWRs can be met with the current volumes of HEW under current constraints or with PEW under the current WSP rules. River operations, irrigation deliveries, and natural flows from tributaries will also contribute to these EWRs."
Ra_0001350,PU_0000092,"Flow CF: Native Fish: NF1 - Survival (all species); Ecosystem Functions: EF1, 2 - refuge habitat; Native Vegetation: NV1",TRUE,TRUE,FALSE,TRUE,Wallaroi Creek US Worrongorra Weir (412046),,December,May,Cease to flow,Cease-to-flow,0 ML/d,CF events should occur in no more than 77% of years,Events should not persist longer than 156 days,,N/A,"Ideal flow timing: In line with historical low flow season, typically December to May; These EWRs can be met with the current volumes of HEW under current constraints or with PEW under the current WSP rules. River operations, irrigation deliveries, and natural flows from tributaries will also contribute to these EWRs."
Ra_0001351,PU_0000092,"Flow BF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 - condition and movement; Native Vegetation: NV1, 2 - in-channel and wetland non-woody; Ecosystem Functions: EF1, 2, 3a; Other Species: OS4 – platypus foraging and movement",TRUE,TRUE,FALSE,TRUE,Nerathong Creek @ Nerathong (412188),,Any time,Any time,Base flow,Base flow,>10 ML/d,N/A,N/A,,1 year,"These EWRs can be met or enhanced with the current volumes of HEW under current constraints or with PEW under the current WSP rules. Current volumes of HEW may not be sufficient to provide flows for the entire duration of these EWRs. River operations, irrigation deliveries, and natural flows from tributaries are also needed to contribute to these EWRs. Can only occur as a component of other environmental flows in the Lachlan River (SF1-3 in Lachlan River Forbes to Condo)."
Ra_0001352,PU_0000092,"Flow BF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 - condition and movement; Native Vegetation: NV1, 2 - in-channel and wetland non-woody; Ecosystem Functions: EF1, 2, 3a; Other Species: OS4 – platypus foraging and movement",TRUE,TRUE,FALSE,TRUE,Wallamundry Creek @ O/T Island Creek (412016),,Any time,Any time,Base flow,Base flow,>40 ML/d,Annual (100% of years),222 days,,1 year,"These EWRs can be met or enhanced with the current volumes of HEW under current constraints or with PEW under the current WSP rules. Current volumes of HEW may not be sufficient to provide flows for the entire duration of these EWRs. River operations, irrigation deliveries, and natural flows from tributaries are also needed to contribute to these EWRs. Can only occur as a component of other environmental flows in the Lachlan River (SF1-3 in Lachlan River Forbes to Condo)."
Ra_0001353,PU_0000092,"Flow BF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 - condition and movement; Native Vegetation: NV1, 2 - in-channel and wetland non-woody; Ecosystem Functions: EF1, 2, 3a; Other Species: OS4 – platypus foraging and movement",TRUE,TRUE,FALSE,TRUE,Wallamundry Creek @ O/T Island Creek (412016),Very dry,Any time,Any time,Base flow,Base flow,>40 ML/d,Annual (100% of years),102 days minimum in very dry years,,1 year,"These EWRs can be met or enhanced with the current volumes of HEW under current constraints or with PEW under the current WSP rules. Current volumes of HEW may not be sufficient to provide flows for the entire duration of these EWRs. River operations, irrigation deliveries, and natural flows from tributaries are also needed to contribute to these EWRs. Can only occur as a component of other environmental flows in the Lachlan River (SF1-3 in Lachlan River Forbes to Condo)."
Ra_0001354,PU_0000092,"Flow BF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 - condition and movement; Native Vegetation: NV1, 2 - in-channel and wetland non-woody; Ecosystem Functions: EF1, 2, 3a; Other Species: OS4 – platypus foraging and movement",TRUE,TRUE,FALSE,TRUE,Wallaroi Creek US Worrongorra Weir (412046),,Any time,Any time,Base flow,Base flow,>10 ML/d,Annual (100% of years),223 days,,1 year,"These EWRs can be met or enhanced with the current volumes of HEW under current constraints or with PEW under the current WSP rules. Current volumes of HEW may not be sufficient to provide flows for the entire duration of these EWRs. River operations, irrigation deliveries, and natural flows from tributaries are also needed to contribute to these EWRs. Can only occur as a component of other environmental flows in the Lachlan River (SF1-3 in Lachlan River Forbes to Condo)."
Ra_0001355,PU_0000092,"Flow BF1: Native Fish: NF1, 2, 3, 4, 5, 6, 7, 8, 9 - condition and movement; Native Vegetation: NV1, 2 - in-channel and wetland non-woody; Ecosystem Functions: EF1, 2, 3a; Other Species: OS4 – platypus foraging and movement",TRUE,TRUE,FALSE,TRUE,Wallaroi Creek US Worrongorra Weir (412046),Very dry,Any time,Any time,Base flow,Base flow,>10 ML/d,Annual (100% of years),77 days minimum in very dry years,,1 year,"These EWRs can be met or enhanced with the current volumes of HEW under current constraints or with PEW under the current WSP rules. Current volumes of HEW may not be sufficient to provide flows for the entire duration of these EWRs. River operations, irrigation deliveries, and natural flows from tributaries are also needed to contribute to these EWRs. Can only occur as a component of other environmental flows in the Lachlan River (SF1-3 in Lachlan River Forbes to Condo)."
Ra_0001356,PU_0000092,"Flow BF2: Native Fish: NF1, 2, 5, 6, 8, 9 - Recruitment (riverine specialists, generalists); Ecosystem Functions: EF1, 2, 3a",TRUE,FALSE,FALSE,TRUE,Nerathong Creek @ Nerathong (412188),,September,March,Base flow,Base flow,>10 ML/d,5–10 years in 10 (75% of years),N/A,,2 years,"These EWRs can be met or enhanced with the current volumes of HEW under current constraints or with PEW under the current WSP rules. Current volumes of HEW may not be sufficient to provide flows for the entire duration of these EWRs. River operations, irrigation deliveries, and natural flows from tributaries are also needed to contribute to these EWRs. Can only occur as a component of other environmental flows in the Lachlan River (SF1-3 in Lachlan River Forbes to Condo)."
Ra_0001357,PU_0000092,"Flow BF2: Native Fish: NF1, 2, 5, 6, 8, 9 - Recruitment (riverine specialists, generalists); Ecosystem Functions: EF1, 2, 3a",TRUE,FALSE,FALSE,TRUE,Wallamundry Creek @ O/T Island Creek (412016),,September,March,Base flow,Base flow,>40 ML/d,5–10 years in 10 (75% of years),135 days,,2 years,"These EWRs can be met or enhanced with the current volumes of HEW under current constraints or with PEW under the current WSP rules. Current volumes of HEW may not be sufficient to provide flows for the entire duration of these EWRs. River operations, irrigation deliveries, and natural flows from tributaries are also needed to contribute to these EWRs. Can only occur as a component of other environmental flows in the Lachlan River (SF1-3 in Lachlan River Forbes to Condo)."
Ra_0001358,PU_0000092,"Flow BF2: Native Fish: NF1, 2, 5, 6, 8, 9 - Recruitment (riverine specialists, generalists); Ecosystem Functions: EF1, 2, 3a",TRUE,FALSE,FALSE,TRUE,Wallamundry Creek @ O/T Island Creek (412016),Very dry,September,March,Base flow,Base flow,>40 ML/d,5–10 years in 10 (75% of years),37 days minimum in very dry years,,2 years,"These EWRs can be met or enhanced with the current volumes of HEW under current constraints or with PEW under the current WSP rules. Current volumes of HEW may not be sufficient to provide flows for the entire duration of these EWRs. River operations, irrigation deliveries, and natural flows from tributaries are also needed to contribute to these EWRs. Can only occur as a component of other environmental flows in the Lachlan River (SF1-3 in Lachlan River Forbes to Condo)."
Ra_0001359,PU_0000092,"Flow BF2: Native Fish: NF1, 2, 5, 6, 8, 9 - Recruitment (riverine specialists, generalists); Ecosystem Functions: EF1, 2, 3a",TRUE,FALSE,FALSE,TRUE,Wallaroi Creek US Worrongorra Weir (412046),,September,March,Base flow,Base flow,>10 ML/d,5–10 years in 10 (75% of years),125 days,,2 years,"These EWRs can be met or enhanced with the current volumes of HEW under current constraints or with PEW under the current WSP rules. Current volumes of HEW may not be sufficient to provide flows for the entire duration of these EWRs. River operations, irrigation deliveries, and natural flows from tributaries are also needed to contribute to these EWRs. Can only occur as a component of other environmental flows in the Lachlan River (SF1-3 in Lachlan River Forbes to Condo)."
